city_a,city_b,country_a,country_b,iana_a,iana_b,overlap_jan_minutes,overlap_jul_minutes
Abu Dhabi,Accra,UAE,Ghana,Asia/Dubai,Africa/Accra,240,240
Abu Dhabi,Adelaide,UAE,Australia,Asia/Dubai,Australia/Adelaide,90,150
Abu Dhabi,Ahmedabad,UAE,India,Asia/Dubai,Asia/Kolkata,390,390
Abu Dhabi,Almaty,UAE,Kazakhstan,Asia/Dubai,Asia/Almaty,420,420
Abu Dhabi,Amman,UAE,Jordan,Asia/Dubai,Asia/Amman,420,420
Abu Dhabi,Amsterdam,UAE,Netherlands,Asia/Dubai,Europe/Amsterdam,300,360
Abu Dhabi,Anchorage,UAE,US,Asia/Dubai,America/Anchorage,0,0
Abu Dhabi,Antalya,UAE,Turkey,Asia/Dubai,Europe/Istanbul,420,420
Abu Dhabi,Antwerp,UAE,Belgium,Asia/Dubai,Europe/Brussels,300,360
Abu Dhabi,Apia,UAE,Samoa,Asia/Dubai,Pacific/Apia,0,0
Abu Dhabi,Athens,UAE,Greece,Asia/Dubai,Europe/Athens,360,420
Abu Dhabi,Atlanta,UAE,US,Asia/Dubai,America/New_York,0,0
Abu Dhabi,Auckland,UAE,New Zealand,Asia/Dubai,Pacific/Auckland,0,0
Abu Dhabi,Austin,UAE,US,Asia/Dubai,America/Chicago,0,0
Abu Dhabi,Baku,UAE,Azerbaijan,Asia/Dubai,Asia/Baku,480,480
Abu Dhabi,Baltimore,UAE,US,Asia/Dubai,America/New_York,0,0
Abu Dhabi,Bangalore,UAE,India,Asia/Dubai,Asia/Kolkata,390,390
Abu Dhabi,Bangkok,UAE,Thailand,Asia/Dubai,Asia/Bangkok,300,300
Abu Dhabi,Barcelona,UAE,Spain,Asia/Dubai,Europe/Madrid,300,360
Abu Dhabi,Beijing,UAE,China,Asia/Dubai,Asia/Shanghai,240,240
Abu Dhabi,Beirut,UAE,Lebanon,Asia/Dubai,Asia/Beirut,360,420
Abu Dhabi,Belgrade,UAE,Serbia,Asia/Dubai,Europe/Belgrade,300,360
Abu Dhabi,Berlin,UAE,Germany,Asia/Dubai,Europe/Berlin,300,360
Abu Dhabi,Bilbao,UAE,Spain,Asia/Dubai,Europe/Madrid,300,360
Abu Dhabi,Birmingham (UK),UAE,UK,Asia/Dubai,Europe/London,240,300
Abu Dhabi,Bogota,UAE,Colombia,Asia/Dubai,America/Bogota,0,0
Abu Dhabi,Bologna,UAE,Italy,Asia/Dubai,Europe/Rome,300,360
Abu Dhabi,Boston,UAE,US,Asia/Dubai,America/New_York,0,0
Abu Dhabi,Bratislava,UAE,Slovakia,Asia/Dubai,Europe/Bratislava,300,360
Abu Dhabi,Brisbane,UAE,Australia,Asia/Dubai,Australia/Brisbane,120,120
Abu Dhabi,Bristol,UAE,UK,Asia/Dubai,Europe/London,240,300
Abu Dhabi,Brussels,UAE,Belgium,Asia/Dubai,Europe/Brussels,300,360
Abu Dhabi,Bucharest,UAE,Romania,Asia/Dubai,Europe/Bucharest,360,420
Abu Dhabi,Budapest,UAE,Hungary,Asia/Dubai,Europe/Budapest,300,360
Abu Dhabi,Buenos Aires,UAE,Argentina,Asia/Dubai,America/Argentina/Buenos_Aires,60,60
Abu Dhabi,Cairo,UAE,Egypt,Asia/Dubai,Africa/Cairo,360,420
Abu Dhabi,Calgary,UAE,Canada,Asia/Dubai,America/Edmonton,0,0
Abu Dhabi,Cali,UAE,Colombia,Asia/Dubai,America/Bogota,0,0
Abu Dhabi,Cape Town,UAE,South Africa,Asia/Dubai,Africa/Johannesburg,360,360
Abu Dhabi,Caracas,UAE,Venezuela,Asia/Dubai,America/Caracas,0,0
Abu Dhabi,Casablanca,UAE,Morocco,Asia/Dubai,Africa/Casablanca,300,300
Abu Dhabi,Cebu,UAE,Philippines,Asia/Dubai,Asia/Manila,240,240
Abu Dhabi,Changchun,UAE,China,Asia/Dubai,Asia/Shanghai,240,240
Abu Dhabi,Changsha,UAE,China,Asia/Dubai,Asia/Shanghai,240,240
Abu Dhabi,Charlotte,UAE,US,Asia/Dubai,America/New_York,0,0
Abu Dhabi,Chengdu,UAE,China,Asia/Dubai,Asia/Shanghai,240,240
Abu Dhabi,Chennai,UAE,India,Asia/Dubai,Asia/Kolkata,390,390
Abu Dhabi,Chicago,UAE,US,Asia/Dubai,America/Chicago,0,0
Abu Dhabi,Chongqing,UAE,China,Asia/Dubai,Asia/Shanghai,240,240
Abu Dhabi,Cleveland,UAE,US,Asia/Dubai,America/New_York,0,0
Abu Dhabi,Cluj-Napoca,UAE,Romania,Asia/Dubai,Europe/Bucharest,360,420
Abu Dhabi,Colombo,UAE,Sri Lanka,Asia/Dubai,Asia/Colombo,390,390
Abu Dhabi,Copenhagen,UAE,Denmark,Asia/Dubai,Europe/Copenhagen,300,360
Abu Dhabi,Cordoba,UAE,Argentina,Asia/Dubai,America/Argentina/Cordoba,60,60
Abu Dhabi,Da Nang,UAE,Vietnam,Asia/Dubai,Asia/Ho_Chi_Minh,300,300
Abu Dhabi,Dalian,UAE,China,Asia/Dubai,Asia/Shanghai,240,240
Abu Dhabi,Dallas,UAE,US,Asia/Dubai,America/Chicago,0,0
Abu Dhabi,Dar es Salaam,UAE,Tanzania,Asia/Dubai,Africa/Dar_es_Salaam,420,420
Abu Dhabi,Darwin,UAE,Australia,Asia/Dubai,Australia/Darwin,150,150
Abu Dhabi,Davao,UAE,Philippines,Asia/Dubai,Asia/Manila,240,240
Abu Dhabi,Denver,UAE,US,Asia/Dubai,America/Denver,0,0
Abu Dhabi,Detroit,UAE,US,Asia/Dubai,America/Detroit,0,0
Abu Dhabi,Dhaka,UAE,Bangladesh,Asia/Dubai,Asia/Dhaka,360,360
Abu Dhabi,Doha,UAE,Qatar,Asia/Dubai,Asia/Qatar,420,420
Abu Dhabi,Dubai,UAE,UAE,Asia/Dubai,Asia/Dubai,480,480
Abu Dhabi,Dublin,UAE,Ireland,Asia/Dubai,Europe/Dublin,240,300
Abu Dhabi,Dusseldorf,UAE,Germany,Asia/Dubai,Europe/Berlin,300,360
Abu Dhabi,Edinburgh,UAE,UK,Asia/Dubai,Europe/London,240,300
Abu Dhabi,Frankfurt,UAE,Germany,Asia/Dubai,Europe/Berlin,300,360
Abu Dhabi,Fuzhou,UAE,China,Asia/Dubai,Asia/Shanghai,240,240
Abu Dhabi,Gdansk,UAE,Poland,Asia/Dubai,Europe/Warsaw,300,360
Abu Dhabi,Geneva,UAE,Switzerland,Asia/Dubai,Europe/Zurich,300,360
Abu Dhabi,Guadalajara,UAE,Mexico,Asia/Dubai,America/Mexico_City,0,0
Abu Dhabi,Guangzhou,UAE,China,Asia/Dubai,Asia/Shanghai,240,240
Abu Dhabi,Guatemala City,UAE,Guatemala,Asia/Dubai,America/Guatemala,0,0
Abu Dhabi,Haikou,UAE,China,Asia/Dubai,Asia/Shanghai,240,240
Abu Dhabi,Halifax,UAE,Canada,Asia/Dubai,America/Halifax,0,60
Abu Dhabi,Hamburg,UAE,Germany,Asia/Dubai,Europe/Berlin,300,360
Abu Dhabi,Hangzhou,UAE,China,Asia/Dubai,Asia/Shanghai,240,240
Abu Dhabi,Hanoi,UAE,Vietnam,Asia/Dubai,Asia/Ho_Chi_Minh,300,300
Abu Dhabi,Harbin,UAE,China,Asia/Dubai,Asia/Shanghai,240,240
Abu Dhabi,Hefei,UAE,China,Asia/Dubai,Asia/Shanghai,240,240
Abu Dhabi,Helsinki,UAE,Finland,Asia/Dubai,Europe/Helsinki,360,420
Abu Dhabi,Ho Chi Minh City,UAE,Vietnam,Asia/Dubai,Asia/Ho_Chi_Minh,300,300
Abu Dhabi,Hong Kong,UAE,China,Asia/Dubai,Asia/Hong_Kong,240,240
Abu Dhabi,Honolulu,UAE,US,Asia/Dubai,Pacific/Honolulu,0,0
Abu Dhabi,Houston,UAE,US,Asia/Dubai,America/Chicago,0,0
Abu Dhabi,Hyderabad,UAE,India,Asia/Dubai,Asia/Kolkata,390,390
Abu Dhabi,Islamabad,UAE,Pakistan,Asia/Dubai,Asia/Karachi,420,420
Abu Dhabi,Istanbul,UAE,Turkey,Asia/Dubai,Europe/Istanbul,420,420
Abu Dhabi,Jakarta,UAE,Indonesia,Asia/Dubai,Asia/Jakarta,300,300
Abu Dhabi,Jeddah,UAE,Saudi Arabia,Asia/Dubai,Asia/Riyadh,420,420
Abu Dhabi,Jinan,UAE,China,Asia/Dubai,Asia/Shanghai,240,240
Abu Dhabi,Johannesburg,UAE,South Africa,Asia/Dubai,Africa/Johannesburg,360,360
Abu Dhabi,Kabul,UAE,Afghanistan,Asia/Dubai,Asia/Kabul,450,450
Abu Dhabi,Kampala,UAE,Uganda,Asia/Dubai,Africa/Kampala,420,420
Abu Dhabi,Karachi,UAE,Pakistan,Asia/Dubai,Asia/Karachi,420,420
Abu Dhabi,Kathmandu,UAE,Nepal,Asia/Dubai,Asia/Kathmandu,375,375
Abu Dhabi,Katowice,UAE,Poland,Asia/Dubai,Europe/Warsaw,300,360
Abu Dhabi,Kolkata,UAE,India,Asia/Dubai,Asia/Kolkata,390,390
Abu Dhabi,Krakow,UAE,Poland,Asia/Dubai,Europe/Warsaw,300,360
Abu Dhabi,Kuala Lumpur,UAE,Malaysia,Asia/Dubai,Asia/Kuala_Lumpur,240,240
Abu Dhabi,Kunming,UAE,China,Asia/Dubai,Asia/Shanghai,240,240
Abu Dhabi,Kuwait City,UAE,Kuwait,Asia/Dubai,Asia/Kuwait,420,420
Abu Dhabi,Kyiv,UAE,Ukraine,Asia/Dubai,Europe/Kyiv,360,420
Abu Dhabi,Kyoto,UAE,Japan,Asia/Dubai,Asia/Tokyo,180,180
Abu Dhabi,Labuan,UAE,Malaysia,Asia/Dubai,Asia/Kuching,240,240
Abu Dhabi,Lagos,UAE,Nigeria,Asia/Dubai,Africa/Lagos,300,300
Abu Dhabi,Lahore,UAE,Pakistan,Asia/Dubai,Asia/Karachi,420,420
Abu Dhabi,Lima,UAE,Peru,Asia/Dubai,America/Lima,0,0
Abu Dhabi,Lisbon,UAE,Portugal,Asia/Dubai,Europe/Lisbon,240,300
Abu Dhabi,Ljubljana,UAE,Slovenia,Asia/Dubai,Europe/Ljubljana,300,360
Abu Dhabi,London,UAE,UK,Asia/Dubai,Europe/London,240,300
Abu Dhabi,Los Angeles,UAE,US,Asia/Dubai,America/Los_Angeles,0,0
Abu Dhabi,Luxembourg,UAE,Luxembourg,Asia/Dubai,Europe/Luxembourg,300,360
Abu Dhabi,Lviv,UAE,Ukraine,Asia/Dubai,Europe/Kyiv,360,420
Abu Dhabi,Lyon,UAE,France,Asia/Dubai,Europe/Paris,300,360
Abu Dhabi,Macau,UAE,China,Asia/Dubai,Asia/Macau,240,240
Abu Dhabi,Madrid,UAE,Spain,Asia/Dubai,Europe/Madrid,300,360
Abu Dhabi,Managua,UAE,Nicaragua,Asia/Dubai,America/Managua,0,0
Abu Dhabi,Manama,UAE,Bahrain,Asia/Dubai,Asia/Bahrain,420,420
Abu Dhabi,Manchester,UAE,UK,Asia/Dubai,Europe/London,240,300
Abu Dhabi,Manila,UAE,Philippines,Asia/Dubai,Asia/Manila,240,240
Abu Dhabi,Marseille,UAE,France,Asia/Dubai,Europe/Paris,300,360
Abu Dhabi,Mecca,UAE,Saudi Arabia,Asia/Dubai,Asia/Riyadh,420,420
Abu Dhabi,Medellin,UAE,Colombia,Asia/Dubai,America/Bogota,0,0
Abu Dhabi,Medina,UAE,Saudi Arabia,Asia/Dubai,Asia/Riyadh,420,420
Abu Dhabi,Melbourne,UAE,Australia,Asia/Dubai,Australia/Melbourne,60,120
Abu Dhabi,Mexico City,UAE,Mexico,Asia/Dubai,America/Mexico_City,0,0
Abu Dhabi,Miami,UAE,US,Asia/Dubai,America/New_York,0,0
Abu Dhabi,Milan,UAE,Italy,Asia/Dubai,Europe/Rome,300,360
Abu Dhabi,Minneapolis,UAE,US,Asia/Dubai,America/Chicago,0,0
Abu Dhabi,Monterrey,UAE,Mexico,Asia/Dubai,America/Monterrey,0,0
Abu Dhabi,Montevideo,UAE,Uruguay,Asia/Dubai,America/Montevideo,60,60
Abu Dhabi,Montreal,UAE,Canada,Asia/Dubai,America/Toronto,0,0
Abu Dhabi,Mumbai,UAE,India,Asia/Dubai,Asia/Kolkata,390,390
Abu Dhabi,Munich,UAE,Germany,Asia/Dubai,Europe/Berlin,300,360
Abu Dhabi,Muscat,UAE,Oman,Asia/Dubai,Asia/Muscat,480,480
Abu Dhabi,Nairobi,UAE,Kenya,Asia/Dubai,Africa/Nairobi,420,420
Abu Dhabi,Nanchang,UAE,China,Asia/Dubai,Asia/Shanghai,240,240
Abu Dhabi,Nanjing,UAE,China,Asia/Dubai,Asia/Shanghai,240,240
Abu Dhabi,Nashville,UAE,US,Asia/Dubai,America/Chicago,0,0
