city,country,iana,utc_offset_jan,utc_offset_jul,gate,gawc_tier
Abu Dhabi,UAE,Asia/Dubai,+4,+4,GaWC 2024,Beta
Accra,Ghana,Africa/Accra,+0,+0,GaWC 2024,Gamma-
Adelaide,Australia,Australia/Adelaide,+10:30,+9:30,GaWC 2024,Gamma+
Ahmedabad,India,Asia/Kolkata,+5:30,+5:30,GaWC 2024,Gamma
Almaty,Kazakhstan,Asia/Almaty,+5,+5,GaWC 2024,Gamma+
Amman,Jordan,Asia/Amman,+3,+3,GaWC 2024,Gamma+
Amsterdam,Netherlands,Europe/Amsterdam,+1,+2,GaWC 2024,Alpha
Anchorage,US,America/Anchorage,-9,-8,Timezone-regime completeness,
Antalya,Turkey,Europe/Istanbul,+3,+3,Euromonitor 2025,
Antwerp,Belgium,Europe/Brussels,+1,+2,GaWC 2024,Gamma+
Apia,Samoa,Pacific/Apia,+13,+13,Timezone-regime completeness,
Athens,Greece,Europe/Athens,+2,+3,GaWC 2024,Beta+
Atlanta,US,America/New_York,-5,-4,GaWC 2024,Beta+
Auckland,New Zealand,Pacific/Auckland,+13,+12,GaWC 2024,Beta+
Austin,US,America/Chicago,-6,-5,GaWC 2024,Gamma+
Baku,Azerbaijan,Asia/Baku,+4,+4,GaWC 2024,Gamma-
Baltimore,US,America/New_York,-5,-4,GaWC 2024,Gamma-
Bangalore,India,Asia/Kolkata,+5:30,+5:30,GaWC 2024,Beta+
Bangkok,Thailand,Asia/Bangkok,+7,+7,GaWC 2024,Alpha
Barcelona,Spain,Europe/Madrid,+1,+2,GaWC 2024,Beta+
Beijing,China,Asia/Shanghai,+8,+8,GaWC 2024,Alpha+
Beirut,Lebanon,Asia/Beirut,+2,+3,GaWC 2024,Beta-
Belgrade,Serbia,Europe/Belgrade,+1,+2,GaWC 2024,Beta-
Berlin,Germany,Europe/Berlin,+1,+2,GaWC 2024,Alpha-
Bilbao,Spain,Europe/Madrid,+1,+2,GaWC 2024,Gamma-
Birmingham (UK),UK,Europe/London,+0,+1,GaWC 2024,Gamma
Bogota,Colombia,America/Bogota,-5,-5,GaWC 2024,Beta+
Bologna,Italy,Europe/Rome,+1,+2,GaWC 2024,Gamma
Boston,US,America/New_York,-5,-4,GaWC 2024,Alpha-
Bratislava,Slovakia,Europe/Bratislava,+1,+2,GaWC 2024,Beta-
Brisbane,Australia,Australia/Brisbane,+10,+10,GaWC 2024,Beta
Bristol,UK,Europe/London,+0,+1,GaWC 2024,Gamma
Brussels,Belgium,Europe/Brussels,+1,+2,GaWC 2024,Alpha-
Bucharest,Romania,Europe/Bucharest,+2,+3,GaWC 2024,Beta+
Budapest,Hungary,Europe/Budapest,+1,+2,GaWC 2024,Beta+
Buenos Aires,Argentina,America/Argentina/Buenos_Aires,-3,-3,GaWC 2024,Alpha-
Cairo,Egypt,Africa/Cairo,+2,+3,GaWC 2024,Beta
Calgary,Canada,America/Edmonton,-7,-6,GaWC 2024,Beta
Cali,Colombia,America/Bogota,-5,-5,GaWC 2024,Gamma-
Cape Town,South Africa,Africa/Johannesburg,+2,+2,GaWC 2024,Gamma+
Caracas,Venezuela,America/Caracas,-4,-4,GaWC 2024,Beta-
Casablanca,Morocco,Africa/Casablanca,+1,+1,GaWC 2024,Beta-
Cebu,Philippines,Asia/Manila,+8,+8,Services-delivery hub,
Changchun,China,Asia/Shanghai,+8,+8,GaWC 2024,Gamma-
Changsha,China,Asia/Shanghai,+8,+8,GaWC 2024,Beta-
Charlotte,US,America/New_York,-5,-4,GaWC 2024,Gamma-
Chengdu,China,Asia/Shanghai,+8,+8,GaWC 2024,Beta+
Chennai,India,Asia/Kolkata,+5:30,+5:30,GaWC 2024,Beta-
Chicago,US,America/Chicago,-6,-5,GaWC 2024,Alpha
Chongqing,China,Asia/Shanghai,+8,+8,GaWC 2024,Beta
Cleveland,US,America/New_York,-5,-4,GaWC 2024,Gamma-
Cluj-Napoca,Romania,Europe/Bucharest,+2,+3,Services-delivery hub,
Colombo,Sri Lanka,Asia/Colombo,+5:30,+5:30,GaWC 2024,Gamma+
Copenhagen,Denmark,Europe/Copenhagen,+1,+2,GaWC 2024,Beta
Cordoba,Argentina,America/Argentina/Cordoba,-3,-3,Services-delivery hub,
Da Nang,Vietnam,Asia/Ho_Chi_Minh,+7,+7,Services-delivery hub,
Dalian,China,Asia/Shanghai,+8,+8,GaWC 2024,Beta
Dallas,US,America/Chicago,-6,-5,GaWC 2024,Beta+
Dar es Salaam,Tanzania,Africa/Dar_es_Salaam,+3,+3,GaWC 2024,Gamma-
